
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Vestre_Blåfjellvatnet 229257 746495 Jillie-Dåvnere
Bjørkvasshatten 229287 746386 Guertiesgaejsie
Holøla 229259 231034 Dåvnerenjohke
Store_Blåfjellvatnet 229314 746388 Dåvnerejaevrie
Alma 232847 234607 Aallejejohke
Lauvsjøvola 233317 745967 Lovse
Luruvatnet 233412 235171 Låartenjaevrie
Urddalsfjellet 233367 235127 Sjaarevaerie
Urddalsvatnet 233336 235096 Sjaarejaevrie
Fiskløysa 233482 235241 Aallerjohke
Fiskløysdalen 233537 235296 Aallere
Akkarumpen 233574 235333 Aahkavaellie
Akkavatnet 233549 235308 Aahkajaevrie
Storvatnet 233572 745705 Aahkabieljiejaevrie
Akkavassøran 233564 235323 Aahkabieljieh
Akkafjellet 233548 235307 Aahka
Kjerdelselva 233571 235330 Tjieltienjohke
Merrarumpen 233599 745712 Mearroevaellie
Hestkjøltoppen 233607 745710 Mealhkoe
Pålfjellet 233626 235385 Jalkedsåajja
Langlia 233595 235354 Gaarkehke
Hestkjølryggen 233614 235373 Gyørte
Fiskløysvatna 233555 745709 Guelehtsjaevrieh
Oivisfjellet 233652 235411 Eevesåejjie
Flatfjellet 233627 235386 Dåeriesvaerie
Litlbursklumpen 233562 742650 Laemtjie
Havdalsfjelltjønna 237057 341511 Vaellienjaevrie
Litlguslifjellet 233434 990295 Ohtjenjuana
Jassånilsklumpen 244382 246096 Jassehkentjåalhte
Store_Tromsfjellet 241045 986698 Trompendalvese
Krutangen 241713 1070454 Giedtie-njuana
Nyvikelva 241721 1070733 Orrevijhkenjohke
Renselskardelva 241154 1071375 Gaaksenjallan-johke
Skånalibekken 241152 1071366 Skærnjan-johke
Skånalifjellet 241151 338681 Skarnjanvaartoe
Skånalifjellet 241151 400025 Golmesvaartoe
Litlvatnet 241148 1071003 Noamesjen-loeke
Langtjønna 241133 338680 Goeblenjaevrie
Storgollomsvatnet 241127 400011 Golmesjaevrieh
Midtibekken 241120 338678 Goeblenjohke
Gollomselva 241098 338671 Golmesjohke
Sørvatnet 241356 338672 Åarjeljaevrie
Finnbursvika 241350 1070425 Buvrie-loeke
Finnbursbekken 241349 1070426 Buvrie-johke
Seterlifjellet 241344 341531 Reajnoesjuelie
Djupdalen 241342 1071346 Gourre
Seterklumpen 241330 341528 Faavrehtjahke
Serinatangen 241276 338692 Sirjennjuana
Beretholet 241255 1070430 Birjen-låemie
Søluberget 241253 341502 Hutnegebaarmoe
Orvatnet 241518 746051 Ovrejaevrie
Orelva 241511 338568 Oovrejohke
Getsklumpen 241510 341466 Gaajhtvaartoe
Storvikbekken 241508 1071760 Gåetie-johke
Rohthetjeklumpen 241506 341471 Rovhtjetje
Flyen 241430 1071304 Sovvene
Storholmen 241417 1070337 Stoerre-sååle
Fiskløystjønna 241548 400009 Såålejaevrie
Litlelva 241540 1071920 Giedtie-johke
Rurukvatnet 241534 341483 Rorkejaevrie
Skardselva 241533 1071692 Durrien-johke
