"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"
"Seoule"	"Seoul"	"prop"	"Seoule, Seoulese"	"Staare Åarjel-Koreesne"	"sted i Sør-Korea"
"Sanghai"	"Sanghai"	"prop"	"Sanghai, Sanghaiese"	"Staare Kinesne"	"sted i Kina"
"Hongkonge"	"Honkong"	"prop"	"Hongkonge, Hongkongese"	"Staare Kinesne"	"sted i Kina"
"Giza"	"Giza"	"prop"	"Giza, Gizese"	"Staare Egyptesne"	"sted i Egypt"
"Herculaneume"	"Herculaneum"	"prop"	"Herculaneume, Herculaneumasse"	"Staare Romerrijhkesne"	"sted i Romerriket"
"Siena"	"Siena"	"prop"	"Siena, Sienese"	"Staare Italijesne"	"sted i Italia"
"Nidarose"	"Nidaros"	"prop"	"Nidarose, Nidarosese"	"Staare Nöörjesne"	"sted i Norge"
"Lübecke"	"Lübeck"	"prop"	"Lübecke, Lïbeckese"	"Staare Tysklaantesne"	"sted i Tyskland"
"Brügge"	"Brügge"	"prop"	"Brügge, Brüggese"	"Staare Belgijesne"	"sted i Belgia"
"Novgorode"	"Novgorod"	"prop"	"Novorode, Novgorodese"	"Staare Rysslaantesne"	"sted i Russland"
