"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"
"Noerhte-Amerika"	"Nord-Amerika"	"prop"	"Noerhte-Amerika, Noerhte-Amerikasse"	"Laante"	"Land"
"Canada"	"Canada"	"prop"	"Canada, Canadasse"	"Laante"	"Land"
"USA"	"USA"	"prop"	"USA, USA:se"	"Laante"	"Land"
"Guatemala"	"Guatemala"	"prop"	"Guatemala, Guatemalese"	"Laante"	"Land"
"Belize"	"Belize"	"prop"	"Belize, Belizese"	"Laante"	"Land"
"El Salvadore"	"El Salvador"	"prop"	"El Salvadore, El Salvadorese"	"Laante"	"Land"
"Hondurase"	"Honduras"	"prop"	"Hondurase, Hondurasese"	"Laante"	"Land"
"Nicaragua"	"Nicaragua"	"prop"	"Nicaragua, Nicaraguasse"	"Laante"	"Land"
"Costa Rica"	"Costa Rica"	"prop"	"Costa Rica, Costa Ricese"	"Laante"	"Land"
"Vinlaante"	"Vinland"	"prop"	"Vinlaante, Vinlaantese"	"Laante"	"Land"
"Jamaica"	"Jamaica"	"prop"	"Jamaica, Jamaicese"	"Laante"	"Land"
"Gaske-Amerika"	"Mellom-Amerika"	"prop"	"Gaske-Amerika, Gaske-Amerikasse"	"Laante"	"Land"
"Åarjel-Amerika"	"Sør-Amerika"	"prop"	"Åarjel-Amerika, Åarjel-Amerikasse"	"Laante"	"Land"
"Aztekerrijhke"	"Aztekerrike"	"prop"	"Aztekerrijhke, Aztekerrijhkese"	"Laante"	"Land"
"Chile"	"Chile"	"prop"	"Chile, Chilese"	"Laante"	"Land"
"Amazonase"	"Amazonas"	"prop"	"Amazonase, Amazonasasse"	"Laante"	"Land"
"Ildlaante"	"Ildlandet"	"prop"	"Ildlaante, Ildlaantese"	"Laante"	"Land"
"Uruguaye"	"Uruguay"	"prop"	"Uruguaye, Uruguayese"	"Laante"	"Land"
"Paraguaye"	"Paraguay"	"prop"	"Paraguaye, Paraguayese"	"Laante"	"Land"
"Argentina"	"Argentina"	"prop"	"Argentina, Argentinese"	"Laante"	"Land"
"Perue"	"Peru"	"prop"	"Peru, Peruese"	"Laante"	"Land"
"Ecuadore"	"Ecuador"	"prop"	"Ecuadore, Ecuadorese"	"Laante"	"Land"
"Venezuela"	"Venezuela"	"prop"	"Venezuela, Venezuelese"	"Laante"	"Land"
"Guyana"	"Guyana"	"prop"	"Guyana, Guyanese"	"Laante"	"Land"
"Surinam"	"Surinam"	"prop"	"Surinam, Surinamese"	"Laante"	"Land"
"Franske Guyana"	"Fransk Guyana"	"prop"	"Franske Guyana, Franske Guyanese"	"Laante"	"Land"
"Inkarijhke"	"Inkariket"	"prop"	"Inkarijhke, Inkarijhkese"	"Laante"	"Land"
"Afrika"	"Afrika"	"prop"	"Afrika, Afrikasse"	"Laante"	"Land"
"Egypte"	"Egypt"	"prop"	"Egypte, Egyptese"	"Laante"	"Land"
"Kapp Horne"	"Kap Horn"	"prop"	"Kapp Horne, Kapp Hornese"	"Laante"	"Land"
"Ghana"	"Ghana"	"prop"	"Ghana, Ghanese"	"Laante"	"Land"
"Maldivh"	"Maldivene"	"prop"	"Maldivh, Maldivide"	"Laante"	"Land"
"Luvlie-Afrika"	"Østafrika"	"prop"	"Luvlie-Afrika, Luvlie-Afrikasse"	"Laante"	"Land"
"Algerie"	"Algerie"	"prop"	"Algerie, Algeriese"	"Laante"	"Land"
"Jillie-Sahara"	"Vest-Sahara"	"prop"	"Jillie-Sahara, Jillie-Saharese"	"Laante"	"Land"
"Nigere"	"Niger"	"prop"	"Nigere, Nigerasse"	"Laante"	"Land"
"Tsjade "	"Tsjad "	"prop"	"Tsjade, Tsjadese"	"Laante"	"Land"
"Sudane"	"Sudan"	"prop"	"Sudane, Sudanese"	"Laante"	"Land"
"Eritrea"	"Eritrea"	"prop"	"Eritrea, Eritreese"	"Laante"	"Land"
"Djiboutije"	"Djibouti"	"prop"	"Djiboutije, Djiboutijese"	"Laante"	"Land"
"Senegale"	"Senegal"	"prop"	"Senegale, Senegalese"	"Laante"	"Land"
"Guinea-Bissaue"	"Guinea-Bissau"	"prop"	"Guinea-Bissaue, Guinea-Bissauese"	"Laante"	"Land"
"Guinea "	"Guinea "	"prop"	"Guinea, Guineese"	"Laante"	"Land"
"Sierra Leone"	"Sierra Leone"	"prop"	"Sierra Leone, Sierra Leonese"	"Laante"	"Land"
"Burkina Faso"	"Burkina Faso"	"prop"	"Burkina Faso, Burkina Fasose"	"Laante"	"Land"
"Togo"	"Togo"	"prop"	"Togo, Togose"	"Laante"	"Land"
"Benine"	"Benin"	"prop"	"Benine, Beninese"	"Laante"	"Land"
"Kamerune"	"Kamerun"	"prop"	"Kamerune, Kamerunese"	"Laante"	"Land"
"Sentralafrikan Republihke"	"Sentralafrikanske Republikk"	"prop"	"Sentralafrikan Republihke, Sentralafrikan Republihkese"	"Laante"	"Land"
"Gabone"	"Gabon"	"prop"	"Gabone, Gabonese"	"Laante"	"Land"
"Kongo"	"Kongo "	"prop"	"Kongo, Kongose"	"Laante"	"Land"
"Uganda"	"Uganda"	"prop"	"Uganda, Ugandese"	"Laante"	"Land"
"Kenya"	"Kenya"	"prop"	"Kenya, Kenyese"	"Laante"	"Land"
"Angola"	"Angola"	"prop"	"Angola, Angolese"	"Laante"	"Land"
"Mosambike"	"Mosambik"	"prop"	"Mosambike, Mosambikese"	"Laante"	"Land"
"Zimbabwe"	"Zimbabwe"	"prop"	"Zimbabwe, Zimbabwese"	"Laante"	"Land"
"Botswana"	"Botswana"	"prop"	"Botswana, Botswanese"	"Laante"	"Land"
"Åarjel-Afrika"	"Sør-Afrika"	"prop"	"Åarjel-Afrika, Åarjel-Afrikasse"	"Laante"	"Land"
"Lesotho"	"Lesotho"	"prop"	"Lesotho, Lesothose"	"Laante"	"Land"
"Swazilaante"	"Swaziland"	"prop"	"Swazilaante. Swazilaantese"	"Laante"	"Land"
"Madagaskere"	"Madagaskar"	"prop"	"Madagaskere, Madagaskerasse"	"Laante"	"Land"
"Kapp Verde"	"Kapp Verde"	"prop"	"Kapp Verde, Kapp Verdese"	"Laante"	"Land"
