soejedh	soejedh+V+IV+Inf
slaptje	slaptje+N+Sg+Nom
raavtje	raavtje+N+Sg+Nom
taake	taake+N+Sg+Nom
krungke	krungke+N+Sg+Nom
bæjjadahke	bæjjadahke+N+Sg+Nom
gossehtahke	gossehtahke+N+Sg+Nom
boerestahke	boerestahke+N+Sg+Nom
reehke	reehke+N+Sg+Nom
buelehke	buelehke+N+Sg+Nom
jarpehke	jarpehke+N+Sg+Nom
urrehke	urrehke+N+Sg+Nom
tjovrehke	tjovrehke+N+Sg+Nom
væjsehke	væjsehke+N+Sg+Nom
vihtehke	vihtehke+N+Sg+Nom
åanghke	åanghke+N+Sg+Nom
moeretjåålhke	moere#tjåålhke+N+Sg+Nom
moeretjöölhke	moere#tjöölhke+N+Sg+Nom
tjeapah	tjeapohke+N+Sg+Nom
borhke	borhke+N+Sg+Nom
steavhke	steavhke+N+Sg+Nom
stïevhke	stïevhke+N+Sg+Nom
frorke	frorke+N+Sg+Nom
tjyöke	tjyöke+N+Sg+Nom
tsåeptsele	tsåeptsele+N+Sg+Nom
bodtele	bodtele+N+Sg+Nom
bohtele	bohtele+N+Sg+Nom
dalle	dalle+N+Sg+Nom
dolle	dolle+N+Sg+Nom
moeretjååle	moere#tjååle+N+Sg+Nom
seareme	seareme+N+Sg+Nom
mekseme	mekseme+N+Sg+Nom
mujhteme	mujhteme+N+Sg+Nom
båajme	båajme+N+Sg+Nom
spåajme	spåajme+N+Sg+Nom
lïjme	lïjme+N+Sg+Nom
loemme	loemme+N+Sg+Nom
låmme	låmme+N+Sg+Nom
nïmme	nïmme+N+Sg+Nom
eebne	eebne+N+Sg+Nom
angkene	angkene+N+Sg+Nom
gearene	gearene+N+Sg+Nom
påassene	påassene+N+Sg+Nom
gujne	gujne+N+Sg+Nom
botne	botne+N+Sg+Nom
tjovne	tjovne+N+Sg+Nom
jååne	jååne+N+Sg+Nom
kraassjoe	kraassjoe+N+Sg+Nom
krahtjoe	krahtjoe+N+Sg+Nom
spæntjoe	spæntjoe+N+Sg+Nom
neakoe	neakoe+N+Sg+Nom
hahkoe	hahkoe+N+Sg+Nom
klåhkoe	klåhkoe+N+Sg+Nom
hearskoe	hearskoe+N+Sg+Nom
leamoe	leamoe+N+Sg+Nom
klaajpoe	klaajpoe+N+Sg+Nom
gæmpoe	gæmpoe+N+Sg+Nom
snårroe	snårroe+N+Sg+Nom
pleasoe	pleasoe+N+Sg+Nom
bånhtsoe	bånhtsoe+N+Sg+Nom
faadtoe	faadtoe+N+Sg+Nom
gaarpe	gaarpe+N+Sg+Nom
feebere	feebere+N+Sg+Nom
fïebere	fïebere+N+Sg+Nom
fræjjere	fræjjere+N+Sg+Nom
nåhkere	nåhkere+N+Sg+Nom
næhkere	næhkere+N+Sg+Nom
baamere	baamere+N+Sg+Nom
neapere	neapere+N+Sg+Nom
ååbpere	ååbpere+N+Sg+Nom
plomstere	plomstere+N+Sg+Nom
bïere	bïere+N+Sg+Nom
traktore	traktore+N+Sg+Nom
rektore	rektore+N+Sg+Nom
horre	horre+N+Sg+Nom
duvre	duvre+N+Sg+Nom
voejmese	voejmese+N+Sg+Nom
ebriegïerese	ebrie#gïerese+N+Sg+Nom
laakse	laakse+N+Sg+Nom
kreense	kreense+N+Sg+Nom
nïekedasse	nïekedasse+N+Sg+Nom
gaarenasse	gaarenasse+N+Sg+Nom
rïsse	rïsse+N+Sg+Nom
gihtse	gihtse+N+Sg+Nom
niestiesbovtse	niesties#bovtse+N+Sg+Nom
haahte	haahte+N+Sg+Nom
tjïejhte	tjïejhte+N+Sg+Nom
sprïjhte	sprïjhte+N+Sg+Nom
johte	johte+N+Sg+Nom
jåårhte	jåårhte+N+Sg+Nom
sjåårhte	sjåårhte+N+Sg+Nom
roejte	roejte+N+Sg+Nom
moelte	moelte+N+Sg+Nom
båånte	båånte+N+Sg+Nom
tjipte	tjipte+N+Sg+Nom
prïeste	prïeste+N+Sg+Nom
haave	haave+N+Sg+Nom
raadijove	raadijove+N+Sg+Nom
boerove	boerove+N+Sg+Nom
maaksove	maaksove+N+Sg+Nom
råahtove	råahtove+N+Sg+Nom
koerve	koerve+N+Sg+Nom
gajjedh	gajjedh+N+Sg+Nom
prællah	prællah+N+Pl+Nom
gaevnieh	gaevnieh+N+Pl+Nom
sysngelh	sysngelh+N+Pl+Nom
gossehth	gossehth+N+Pl+Nom
dïere	dïere+Po
dïere	dïere+Pr
gaarmanæjja	gaarmanæjja+A+Attr
mådtege	mådtege+A+Attr
tjulhpie	tjulhpie+A+Attr
uhtsie	uhtsie+A+Attr
faamoje	faamoje+A+Attr
gaarsje	gaarsje+A+Attr
skïebtje	skïebtje+A+Attr
gearkehtje	gearkehtje+A+Attr
naaskehtje	naaskehtje+A+Attr
sjïjjehke	sjïjjehke+A+Attr
gaarsjehke	gaarsjehke+A+Attr
donghkehke	donghkehke+A+Attr
vyölkehke	vyölkehke+A+Attr
gåårkehke	gåårkehke+A+Attr
jyörkehke	jyörkehke+A+Attr
