lemma	mg_index	pos_hint	nob_ts	swe_placeholders
ektievuekie	1	N	samfunn	samfunn_SWE
ektievuepsie	1	Phrase	felles mål	felles mål_SWE
elektronihkepåaste	1	N	e-post; e-mail	e-post_SWE
elliesvoete	1	N	helhet	helhet_SWE
elmietjelmie	1	Phrase	første regndråpen	første regndråpen_SWE
eskie	1	N	fang; skjød	fang_SWE
evtiedimmie	1	N	utvikling	utvikling_SWE
faadtere	1	N	fadder	fadder_SWE
faageaamhtesh	1	N	fagstoff	fagstoff_SWE
faagesuerkie	1	N	fagområde	fagområde_SWE
faahtele	1	N	bærereim; fatle	bærerem_SWE
faamoefaktore	1	N	maktfaktor	maktfaktor_SWE
faaroe	1	N	reisefølge	reisefølge_SWE
faasoe	1	N	vindskydd; ly	vindskydd_SWE
faerhmie	1	N	favn	favn_SWE
fealadæjja	1	N	reisende	reisende_SWE
feeleme	1	N	reise; avreise	reise_SWE
feete	1	N	fat; tallerken	fat_SWE
fitnele	1	N	hunnrype	hunnrype_SWE
flyjjere	1	N	sameluebånd	sameluebånd_SWE
flïeske	1	N	flesk	flesk_SWE
foeve	1	N	hær	hær_SWE
frïere	1	N	fred; ro	fred_SWE
fuehpie	1	N	travelhet	travelhet_SWE
fuehpieveaskoe	1	N	stresskoffert	stresskoffert_SWE
fuelhkie	1	N	familie	familie_SWE
fuerege	1	Phrase	uskikkelig unge; trollunge	trollunge_SWE
fuersjie	1	N	foss	foss_SWE
fylhke	1	N	fylke	fylke_SWE
fylhkedigkie	1	N	fylkesting	fylkesting_SWE
fylhketjïelte	1	N	fylkeskommune	fylkeskommune_SWE
fåantoe	1	N	grunn; foranledning	grunn_SWE
fåvhta	1	N	fogd	fogd_SWE
fæjjoe	1	N	fiendehær	fiendehær_SWE
gaagkije	1	N	tjener	tjener_SWE
gaahka	1	N	øyeeple	øyeeple_SWE
gaaje	1	N	sladder	sladder_SWE
gaajedeajvoe	1	N	lydform	lydform_SWE
gaajesjimmie	1	N	berøring	berøring_SWE
gaalla	1	N	ektemann; husbond	ektemann_SWE
gaallohke	1	N	skalle; fottøy av skalleskinn med hår	skallesko_SWE
gaalne	1	N	lik	lik_SWE
gaaltenje	1	N	reinflokk	reinflokk_SWE
