altasasse	dïhte+Pron+Pers+Sg+Ill+PxSg3
gallesigujmie	gallesh+Pron+Coll+Pl+Com

geah	gie+Pron+Rel+Pl+Nom
geah	gie+Pron+Interr+Pl+Nom

geah	gie+Pron+Rel+Pl+Nom
geah	gie+Pron+Interr+Pl+Nom

geaj	gie+Pron+Rel+Pl+Gen
geaj	gie+Pron+Interr+Pl+Gen

geaj	gie+Pron+Rel+Pl+Gen
geaj	gie+Pron+Interr+Pl+Gen

giennie	gie+Pron+Rel+Sg+Ine
giennie	gie+Pron+Interr+Sg+Ine

giennie	gie+Pron+Rel+Sg+Ine
giennie	gie+Pron+Interr+Sg+Ine

guhtede	guhte+Pron+Interr+Sg+Ela+Attr
guhtede	guhte+Pron+Rel+Sg+Ela+Attr

guhtede	guhte+Pron+Interr+Sg+Ela+Attr
guhtede	guhte+Pron+Rel+Sg+Ela+Attr

guhtene	guhte+Pron+Interr+Sg+Ine+Attr
guhtene	guhte+Pron+Rel+Sg+Ine+Attr

guhtene	guhte+Pron+Interr+Sg+Ine+Attr
guhtene	guhte+Pron+Rel+Sg+Ine+Attr

gåabpatjahke	gåabpatjahkh+Pron+Indef+Sg+Nom

gåabpatjahkede	gåabpatjahkh+Pron+Indef+Sg+Ela+Attr
gåabpatjahkede	gåabpatjahkh+Pron+Indef+Sg+Ela+Attr

gåabpatjahkem	gåabpatjahkh+Pron+Indef+Sg+Acc

gåabpatjahken	gåabpatjahkh+Pron+Indef+Sg+Gen
gåabpatjahken	gåabpatjahkh+Pron+Indef+Sg+Ill+Attr

gåabpatjahkene	gåabpatjahkh+Pron+Indef+Sg+Ine+Attr

gåabpatjahkese	gåabpatjahkh+Pron+Indef+Sg+Ill

gåabpatjahkesne	gåabpatjahkh+Pron+Indef+Sg+Ine

gåabpatjahkeste	gåabpatjahkh+Pron+Indef+Sg+Ela

gåabpatjahki	gåabpatjahkh+Pron+Indef+Pl+Gen

gåabpatjahkide	gåabpatjahkh+Pron+Indef+Pl+Ill
gåabpatjahkide	gåabpatjahkh+Pron+Indef+Pl+Acc

gåabpatjahkide	gåabpatjahkh+Pron+Indef+Pl+Ill
gåabpatjahkide	gåabpatjahkh+Pron+Indef+Pl+Acc

gåabpatjahkigujmie	gåabpatjahkh+Pron+Indef+Pl+Com

gåabpatjahkijste	gåabpatjahkh+Pron+Indef+Pl+Ela

gåabpatjahkine	gåabpatjahkh+Pron+Indef+Ess
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Pl+Ine
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Sg+Com

gåabpatjahkine	gåabpatjahkh+Pron+Indef+Ess
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Pl+Ine
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Sg+Com

gåabpatjahkine	gåabpatjahkh+Pron+Indef+Ess
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Pl+Ine
gåabpatjahkine	gåabpatjahkh+Pron+Indef+Sg+Com

gåabpegh	gåabpegh+Pron+Indef+Pl+Nom

ijtje	jïjtje+Pron+Refl+Sg+Nom

jeatjaah	jeatjaah	+?

jeatjah	jeatja+Pron+Indef+Pl+Nom

jeatjah	jeatja+Pron+Indef+Pl+Nom

jeatjaj	jeatja+Pron+Indef+Pl+Gen

jeatjaj	jeatja+Pron+Indef+Pl+Gen

jeatjajgujmie	jeatja+Pron+Indef+Pl+Com

jeatjajgujmie	jeatja+Pron+Indef+Pl+Com

jeatjajgujmie	jeatja+Pron+Indef+Pl+Com

jeatjam	jeatja+Pron+Indef+Sg+Acc

jeatjam	jeatja+Pron+Indef+Sg+Acc

jeatjan	jeatja+Pron+Indef+Sg+Gen

jeatjan	jeatja+Pron+Indef+Sg+Gen

jeatje	jeatjh+Pron+Indef+Sg+Nom

jeatjem	jeatjh+Pron+Indef+Sg+Acc

jeatjen	jeatjh+Pron+Indef+Sg+Gen
jeatjen	jeatjh+Pron+Indef+Sg+Ill+Attr

jeatjene	jeatjh+Pron+Indef+Sg+Ine+Attr
jeatjene	jeatja+Pron+Indef+Sg+Ine+Attr

jeatjene	jeatjh+Pron+Indef+Sg+Ine+Attr
jeatjene	jeatja+Pron+Indef+Sg+Ine+Attr

jeatjese	jeatjh+Pron+Indef+Sg+Ill
jeatjese	jeatja+Pron+Indef+Sg+Ill

jeatjese	jeatjh+Pron+Indef+Sg+Ill
jeatjese	jeatja+Pron+Indef+Sg+Ill

jeatja+Pron+Indef+Sg+Ill	jeatja+Pron+Indef+Sg+Ill	+?

jeatjesne	jeatjh+Pron+Indef+Sg+Ine
jeatjesne	jeatja+Pron+Indef+Sg+Ine

jeatjesne	jeatjh+Pron+Indef+Sg+Ine
jeatjesne	jeatja+Pron+Indef+Sg+Ine

jeatjesne	jeatjh+Pron+Indef+Sg+Ine
jeatjesne	jeatja+Pron+Indef+Sg+Ine

jeatjeste	jeatjh+Pron+Indef+Sg+Ela
jeatjeste	jeatja+Pron+Indef+Sg+Ela

jeatjeste	jeatjh+Pron+Indef+Sg+Ela
jeatjeste	jeatja+Pron+Indef+Sg+Ela

jeatjeste	jeatjh+Pron+Indef+Sg+Ela
jeatjeste	jeatja+Pron+Indef+Sg+Ela

jeatjh	jeatjh+Pron+Indef+Pl+Nom

jeatji	jeatjh+Pron+Indef+Pl+Gen

jeatjide	jeatjh+Pron+Indef+Pl+Ill
jeatjide	jeatjh+Pron+Indef+Pl+Acc
jeatjide	jeatja+Pron+Indef+Pl+Ill
jeatjide	jeatja+Pron+Indef+Pl+Acc

