laavloje	laavlodh+V+TV+Der/NomAg+N+Sg+Nom
laavloje	laavlodh+V+TV+PrsPrc
laavloje	laavloje+N+Sg+Nom
laavloje	laavlojs+A+Sg+Nom

jïermegs	jiermegs+A+Attr
jïermegs	jiermegs+A+Sg+Nom
jïermegs	jïermegs+A+Attr

jeakadidh	jeakadidh+V+TV+Inf
jeakadidh	jeakadidh+V+TV+Ind+Prt+Pl2

gorredæjja	gårrodh+V+IV+Der/d+V+Der/NomAg+N+Sg+Nom
gorredæjja	gårrodh+V+IV+Der/d+V+PrsPrc
gorredæjja	gorredidh+V+TV+Der/NomAg+N+Sg+Nom
gorredæjja	gorredidh+V+TV+PrsPrc
gorredæjja	gorredæjja+N+Sg+Nom

easehts	easehts+A+Attr
easehts	easehts+A+Sg+Nom

daektie	daektie+N+Sg+Nom

vijnie	vijnie+N+Sg+Nom

vijne#gaertene	vijne#gaertene	+?

veljies	veljies+A+Attr

sårkoe-#skuptjie	sårkoe-#skuptjie	+?

slaave-#nyjsenæjja	slaave-#nyjsenæjja	+?

lutnjiestidh	lutnjiestidh+V+TV+Inf
lutnjiestidh	lutnjiestidh+V+TV+Ind+Prt+Pl2

lejjone	lejjone+N+Sg+Nom

krïstegassje	krïstegassje+N+Sg+Nom
krïstegassje	kristegassje+N+Sg+Nom

kristegassje	krïstegassje+N+Sg+Nom
kristegassje	kristegassje+N+Sg+Nom

gællan	gællan+Adv

gabretjaalege	gabre+N+Cmp/SgNom+Cmp#tjaalege+N+Sg+Nom
gabretjaalege	gabretjaalege+N+Sg+Nom

gaarkeh	gaarkeh+N+Pl+Nom

gaalletjevoete	gaalletjevoete+N+Sg+Nom

eerpije	eerpedh+V+TV+Der/NomAg+N+Sg+Nom
eerpije	eerpedh+V+TV+PrsPrc
eerpije	eerpije+N+Sg+Nom

dåaroe-#foeve	dåaroe-#foeve	+?

vaeptie	vaeptie+N+Sg+Nom

vaeltie	vaeltie+N+Sg+Nom

vaarjelimmie	vaarjelimmie+N+Sg+Nom
vaarjelimmie	vaarjelidh+V+TV+Der/NomAct+N+Sg+Nom

tåarnestråmhpoe	tåarnestråmhpoe+N+Sg+Nom
tåarnestråmhpoe	tåarne+N+Cmp/SgNom+Cmp#stråmhpoe+N+Sg+Nom

